Rmin,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
1,"[119, 119, 119, 119, 117, 117, 117, 117, 117]",117.88888888888889,0.9938079899999066,"[204.1383698171018, 204.1383698171018, 204.1383698171018, 204.1383698171018, 204.12598746714343, 204.12598746714343, 204.12598746714343, 204.12598746714343, 204.12598746714343]",204.13149073379157,0.006152839161795577,"[0.9503648501727271, 0.9503648501727271, 0.9503648501727271, 0.9503648501727271, 0.9485408339551276, 0.9485408339551276, 0.9485408339551276, 0.9485408339551276, 0.9485408339551276]",0.9493515078296162
2,"[119, 119, 119, 118, 116, 116, 116, 116, 116]",117.22222222222223,1.3966450099973928,"[204.4482245137368, 204.4482245137368, 204.4482245137368, 204.3952690442246, 204.38763958901197, 204.38763958901197, 204.38763958901197, 204.38763958901197, 204.38763958901197]",204.40868228116608,0.028056795296407092,"[0.9518073766933742, 0.9518073766933742, 0.9518073766933742, 0.9506756699731376, 0.9488748356035839, 0.9488748356035839, 0.9488748356035839, 0.9488748356035839, 0.9488748356035839]",0.9500524420079088
3,"[119, 119, 119, 116, 114, 114, 114, 114, 114]",115.88888888888889,2.282515398241571,"[204.88791813375732, 204.88791813375732, 204.88791813375732, 204.75888038178843, 204.74925797422733, 204.74925797422733, 204.74925797422733, 204.74925797422733, 204.74925797422733]",204.79654718379962,0.06467533118252901,"[0.9538543674755927, 0.9538543674755927, 0.9538543674755927, 0.9505983304632702, 0.9487917422346029, 0.9487917422346029, 0.9487917422346029, 0.9487917422346029, 0.9487917422346029]",0.9506800160070069
4,"[119, 119, 119, 114, 112, 112, 112, 112, 112]",114.55555555555556,3.2010800646417628,"[206.81627734090944, 206.81627734090944, 206.81627734090944, 205.12237743813444, 205.11075140719117, 205.11075140719117, 205.11075140719117, 205.11075140719117, 205.11075140719117]",205.68055183297986,0.8030870002193331,"[0.9619361736786486, 0.9619361736786486, 0.9619361736786486, 0.9505207480914477, 0.9487083783866382, 0.9487083783866382, 0.9487083783866382, 0.9487083783866382, 0.9487083783866382]",0.9533190178956205
5,"[119, 119, 118, 118, 110, 110, 110, 110, 110]",113.77777777777777,4.236816881097249,"[206.97465305540345, 206.97465305540345, 206.90932927118885, 206.90932927118885, 205.47211927687545, 205.47211927687545, 205.47211927687545, 205.47211927687545, 205.47211927687545]",206.12539567084022,0.7307097177508383,"[0.9626728049088533, 0.9626728049088533, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904, 0.9486247427371904, 0.9486247427371904, 0.9486247427371904, 0.9486247427371904]",0.954602053366566
6,"[119, 119, 118, 118, 118, 108, 108, 108, 108]",113.77777777777777,5.1806858786110075,"[206.96354405021012, 206.96354405021012, 206.89748416491983, 206.89748416491983, 206.89748416491983, 205.83336096826267, 205.83336096826267, 205.83336096826267, 205.83336096826267]",206.43922049647006,0.542433838172922,"[0.9626211351172563, 0.9626211351172563, 0.9614195360823413, 0.9614195360823413, 0.9614195360823413, 0.9485408339551276, 0.9485408339551276, 0.9485408339551276, 0.9485408339551276]",0.9559626904780052
7,"[119, 119, 119, 119, 119, 119, 107, 107, 107]",115.0,5.656854249492381,"[206.7523349349983, 206.7523349349983, 206.7523349349983, 206.7523349349983, 206.7523349349983, 206.7523349349983, 206.0956142930984, 206.0956142930984, 206.0956142930984]",206.53342805436498,0.309581079488392,"[0.9616387671395269, 0.9616387671395269, 0.9616387671395269, 0.9616387671395269, 0.9616387671395269, 0.9616387671395269, 0.9488748356035839, 0.9488748356035839, 0.9488748356035839]",0.9573841232942125
8,"[119, 119, 119, 119, 119, 119, 119, 105, 105]",115.88888888888889,5.820355934981686,"[206.74060155071146, 206.74060155071146, 206.74060155071146, 206.74060155071146, 206.74060155071146, 206.74060155071146, 206.74060155071146, 206.45708311024958, 206.45708311024958]",206.67759745283107,0.11786987411564506,"[0.961584193259123, 0.961584193259123, 0.961584193259123, 0.961584193259123, 0.961584193259123, 0.961584193259123, 0.961584193259123, 0.9487917422346029, 0.9487917422346029]",0.9587414263647851
9,"[119, 119, 117, 117, 117, 117, 117, 103, 103]",114.33333333333333,6.110100926607787,"[207.22715243648773, 207.22715243648773, 207.11344652412086, 207.11344652412086, 207.11344652412086, 207.11344652412086, 207.11344652412086, 206.81842648828714, 206.81842648828714]",207.07315449668377,0.14349629682643597,"[0.9638472206348266, 0.9638472206348266, 0.9615294639002825, 0.9615294639002825, 0.9615294639002825, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382, 0.9487083783866382]",0.9591953908382601
10,"[119, 119, 115, 115, 115, 115, 115, 101, 101]",112.77777777777777,6.494061864978869,"[209.05963215102648, 209.05963215102648, 207.4862140182275, 207.4862140182275, 207.4862140182275, 207.4862140182275, 207.4862140182275, 207.1796438138024, 207.1796438138024]",207.76773578008834,0.7012662594757932,"[0.9714666921516101, 0.9714666921516101, 0.9614745783977178, 0.9614745783977178, 0.9614745783977178, 0.9614745783977178, 0.9614745783977178, 0.9486247427371904, 0.9486247427371904]",0.9608395290851323
