b,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
1,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[202.125, 202.125, 201.84971478718737, 201.5375937428961, 201.40117492779476, 201.2878986138136, 201.2878986138136, 201.2878986138136, 201.2878986138136]",201.57667532368143,0.340223155772262,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
2,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[211.75, 211.75, 211.46160596752964, 211.13462201636733, 210.99170706721355, 210.87303664304284, 210.87303664304284, 210.87303664304284, 210.87303664304284]",211.17556462480903,0.3564242584280822,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
3,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[221.375, 221.375, 221.07349714787188, 220.73165028983857, 220.58223920663238, 220.45817467227204, 220.45817467227204, 220.45817467227204, 220.45817467227204]",220.77445392593674,0.3726253610839089,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
4,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[231.0, 231.0, 230.68538832821412, 230.3286785633098, 230.17277134605115, 230.04331270150126, 230.04331270150126, 230.04331270150126, 230.04331270150126]",230.37334322706445,0.3888264637397282,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
5,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[240.625, 240.625, 240.2972795085564, 239.92570683678107, 239.76330348546995, 239.62845073073046, 239.62845073073046, 239.62845073073046, 239.62845073073046]",239.97223252819217,0.40502756639555876,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
6,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[250.25, 250.25, 249.90917068889866, 249.52273511025228, 249.35383562488877, 249.21358875995972, 249.21358875995972, 249.21358875995972, 249.21358875995972]",249.57112182931985,0.42122866905136697,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
7,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[259.875, 259.875, 259.5210618692409, 259.1197633837236, 258.9443677643076, 258.7987267891889, 258.7987267891889, 258.7987267891889, 258.7987267891889]",259.17001113044756,0.4374297717072053,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
8,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[269.5, 269.5, 269.13295304958314, 268.71679165719473, 268.5348999037264, 268.38386481841815, 268.38386481841815, 268.38386481841815, 268.38386481841815]",268.7689004315753,0.4536308743630117,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
9,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[279.125, 279.125, 278.74484422992543, 278.313819930666, 278.1254320431451, 277.96900284764735, 277.96900284764735, 277.96900284764735, 277.96900284764735]",278.3677897327029,0.4698319770188497,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
10,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[288.75, 288.75, 288.3567354102677, 287.91084820413727, 287.71596418256394, 287.5541408768766, 287.5541408768766, 287.5541408768766, 287.5541408768766]",287.9666790338306,0.4860330796746547,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
11,"[45, 45, 41, 29, 21, 11, 11, 11, 11]",25.0,14.422205101855956,"[298.375, 298.375, 297.9686265906099, 297.50787647760853, 297.30649632198276, 297.1392789061058, 297.1392789061058, 297.1392789061058, 297.1392789061058]",297.5655683349582,0.5022341823304811,"[1.0, 1.0, 0.9960508995173322, 0.9859960554936208, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101]",0.9830413694544391
