c,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
1,"[120, 120, 120, 120, 120, 120, 120, 120, 120]",120.0,0.0,"[180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0]",180.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
2,"[120, 120, 120, 120, 120, 120, 120, 120, 120]",120.0,0.0,"[180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0]",180.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
3,"[119, 119, 119, 119, 119, 113, 113, 113, 113]",116.33333333333333,2.9814239699997196,"[183.69322230277072, 183.69322230277072, 183.69322230277072, 183.69322230277072, 183.69322230277072, 182.18169416480714, 182.18169416480714, 182.18169416480714, 182.18169416480714]",183.02143201923136,0.7510843703089436,"[0.8664774636923147, 0.8664774636923147, 0.8664774636923147, 0.8664774636923147, 0.8664774636923147, 0.8553131181446345, 0.8553131181446345, 0.8553131181446345, 0.8553131181446345]",0.8615155323377901
4,"[119, 119, 119, 119, 119, 119, 119, 119, 106]",117.55555555555556,4.085505846855607,"[190.72258165826855, 190.72258165826855, 190.72258165826855, 190.72258165826855, 190.72258165826855, 190.72258165826855, 190.72258165826855, 190.72258165826855, 190.26898989130635]",190.67218257305055,0.14255013969305044,"[0.8954111814942186, 0.8954111814942186, 0.8954111814942186, 0.8954111814942186, 0.8954111814942186, 0.8954111814942186, 0.8954111814942186, 0.8954111814942186, 0.883328643877931]",0.8940686773146312
5,"[119, 119, 119, 113, 113, 113, 113, 98, 98]",111.66666666666667,7.760297817881877,"[197.6367483572012, 197.6367483572012, 197.6367483572012, 196.1404902593462, 196.1404902593462, 196.1404902593462, 196.1404902593462, 195.82273990866221, 195.82273990866221]",196.56863176959033,0.7651106733133948,"[0.9244001326342433, 0.9244001326342433, 0.9244001326342433, 0.9131307740193025, 0.9131307740193025, 0.9131307740193025, 0.9131307740193025, 0.899920679727308, 0.899920679727308]",0.9139516503816173
6,"[119, 119, 116, 116, 116, 103, 88, 88, 68]",103.66666666666667,17.28840330651992,"[201.25725185093495, 201.25725185093495, 201.23087021086238, 201.23087021086238, 201.23087021086238, 200.87338004696483, 200.4240271833733, 200.4240271833733, 200.220442565627]",200.9054434793106,0.4081153906739411,"[0.9395763391733658, 0.9395763391733658, 0.9368290047060631, 0.9368290047060631, 0.9368290047060631, 0.9248313998479044, 0.9110183053789696, 0.9110183053789696, 0.8946400472101295]",0.9256830833645436
7,"[119, 119, 113, 113, 101, 86, 69, 69, 45]",92.66666666666667,25.210227201585383,"[206.41044080760813, 206.41044080760813, 205.3580148406701, 205.3580148406701, 205.04483421966933, 204.74908585797772, 204.2063063099854, 204.2063063099854, 203.80024830564426]",205.0604102555354,0.8798019154721105,"[0.9609424618603729, 0.9609424618603729, 0.951612673033689, 0.951612673033689, 0.9405726340351804, 0.9273056424727252, 0.9116352960267204, 0.9116352960267204, 0.8915146470063179]",0.9341970872617542
8,"[117, 117, 117, 107, 94, 77, 57, 57, 30]",85.88888888888889,30.344116927318307,"[208.2054715897114, 208.2054715897114, 208.2054715897114, 207.93745224922344, 207.8138415050443, 207.75179757715532, 207.35962854083974, 207.35962854083974, 206.82732647135515]",207.7406766281769,0.4493086401780686,"[0.966599218150935, 0.966599218150935, 0.966599218150935, 0.9573547525286531, 0.9463289686022054, 0.9324586964863344, 0.9150910350434234, 0.9150910350434234, 0.8922662919385468]",0.9398209371217102
9,"[117, 113, 98, 87, 72, 53, 53, 53, 23]",74.33333333333333,29.892399628593814,"[213.07197650584706, 212.3238655106031, 211.35388621738196, 210.9139431495689, 210.5311119079007, 209.83830743523984, 209.83830743523984, 209.83830743523984, 209.54852489949027]",210.80647005516795,1.1650697674271457,"[0.9864443356752178, 0.980257920178223, 0.9642056852982754, 0.9534988388316858, 0.9398710353031281, 0.921960928977328, 0.921960928977328, 0.921960928977328, 0.8978085899721091]",0.9431076880211804
10,"[119, 115, 98, 73, 73, 52, 52, 23, 23]",69.77777777777777,33.81905372806472,"[213.95408398798523, 213.38208639371234, 213.14301129659384, 212.49955053983206, 212.49955053983206, 212.37004344733734, 212.37004344733734, 212.00115114007303, 212.00115114007303]",212.6911857703085,0.6243583705611918,"[0.9914461723261595, 0.9860540036678019, 0.9714813641594979, 0.9486587077671074, 0.9486587077671074, 0.9314475589795497, 0.9314475589795497, 0.9075391744009976, 0.9075391744009976]",0.9471413802720853
