k,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
0.0,"[40, 0, 0, 0]",10.0,17.320508075688775,"[16.0, 14.399999999999999, 14.399999999999999, 14.399999999999999]",14.799999999999999,0.6928203230275516,"[1.0, 1.0, 1.0, 1.0]",1.0
0.1,"[40, 0, 0, 0]",10.0,17.320508075688775,"[16.0, 12.773566993142143, 12.773566993142143, 12.773566993142143]",13.580175244856608,1.3970864737737578,"[1.0, 0.8870532634126489, 0.8870532634126489, 0.8870532634126489]",0.9152899475594867
0.2,"[45, 10, 0, 0]",13.75,18.498310733685926,"[15.0, 11.57492577981872, 11.334217119636474, 11.334217119636474]",12.310840004772917,1.5556940369144026,"[1.0, 0.8510974838102, 0.7870984110858663, 0.7870984110858663]",0.8563235764954831
0.30000000000000004,"[51, 20, 5, 0]",19.0,19.887181801351343,"[13.799999999999999, 10.539143798447842, 10.095568932761086, 10.060043556400615]",11.123689071902387,1.55665556271512,"[1.0, 0.8364399840037969, 0.7315629661421077, 0.6986141358611538]",0.8166542715017647
0.4,"[56, 27, 10, 0]",23.25,21.22940178149163,"[12.8, 9.677931988418374, 9.162045904311277, 8.93174983293884]",10.142931931417124,1.5576693440776619,"[1.0, 0.8201637278320657, 0.6940943866902483, 0.6202604050651973]",0.7836296298968779
0.5,"[62, 35, 20, 10]",31.75,19.60070151805797,"[11.6, 8.494338052642629, 8.086667130210122, 7.992136595840553]",9.043285444673327,1.4881334834790072,"[1.0, 0.8013526464757198, 0.6853107737466206, 0.614779738141581]",0.7753607895909804
0.6000000000000001,"[65, 40, 20, 10]",33.75,21.0282548015759,"[11.0, 8.167512628399265, 7.501149292644498, 7.255703494958441]",8.48109135400055,1.4920702256213563,"[1.0, 0.8007365321960065, 0.6356906180207202, 0.5581310380737262]",0.7486395470726133
0.7000000000000001,"[70, 47, 27, 17]",40.25,20.29008378494283,"[10.0, 7.317362595726305, 6.775224029096441, 6.615709743515456]",7.677074092084551,1.3661263622742095,"[1.0, 0.7953654995354679, 0.6273355582496705, 0.5513091452929547]",0.7435025507695233
0.8,"[72, 50, 30, 20]",43.0,19.924858845171276,"[9.600000000000001, 6.877838139564178, 6.287019994236014, 6.109049940983307]",7.218477018695875,1.404112458604479,"[1.0, 0.7815725158595658, 0.6045211532919245, 0.5266422362916644]",0.7281839763607887
0.9,"[75, 55, 35, 20]",46.25,20.72890493972125,"[9.0, 6.423263239170326, 5.9278342854872585, 5.642352261671176]",6.74836244658219,1.329669710764471,"[1.0, 0.783324785264674, 0.6048810495395162, 0.4864096777302738]",0.718653878133616
1.0,"[80, 60, 40, 30]",52.5,19.20286436967152,"[8.0, 5.7392800057103575, 5.316944889873565, 5.236769597912586]",6.073248623374127,1.1286716088236122,"[1.0, 0.7755783791500482, 0.5907716544303961, 0.5134087841090771]",0.7199397044223803
1.1,"[80, 60, 40, 30]",52.5,19.20286436967152,"[8.0, 5.596116749933506, 5.046520566280925, 4.902077424880884]",5.886178685273829,1.247583416491833,"[1.0, 0.7562319932342575, 0.5607245073645473, 0.48059582596871414]",0.6993880816418797
1.2000000000000002,"[83, 65, 45, 30]",55.75,20.04214309898021,"[7.4, 5.209762462462974, 4.793743765986204, 4.589288484985508]",5.498198678358671,1.1205376143642254,"[1.0, 0.7661415385974962, 0.5706837816650244, 0.4499302436260302]",0.6966888909721377
1.3,"[83, 65, 45, 30]",55.75,20.04214309898021,"[7.4, 5.096158476440118, 4.576780890241615, 4.296935943655577]",5.3424688275843275,1.2220393143544426,"[1.0, 0.7494350700647233, 0.5448548678859066, 0.42126822977015466]",0.6788895419301961
1.4000000000000001,"[87, 70, 50, 40]",61.75,18.14352501582865,"[6.6000000000000005, 4.491555532925313, 4.103737385573468, 4.037967283724281]",4.808315050555765,1.0488490022315688,"[1.0, 0.7485925888208855, 0.5399654454701932, 0.45885991860503195]",0.6868544882240276
1.5,"[87, 70, 50, 40]",61.75,18.14352501582865,"[6.6000000000000005, 4.400313280524233, 3.9287882963652088, 3.8218614226431886]",4.687740749883158,1.125289498955931,"[1.0, 0.7333855467540388, 0.5169458284691064, 0.4343024343912715]",0.6711584524036042
1.6,"[87, 70, 50, 40]",61.75,18.14352501582865,"[6.6000000000000005, 4.311015236992801, 3.761520380890392, 3.617624765050095]",4.572540095733322,1.1988124521569317,"[1.0, 0.7185025394988002, 0.49493689222242004, 0.4110937233011472]",0.6561332887555918
1.7000000000000002,"[90, 75, 55, 40]",65.0,19.03943276465977,"[6.0, 3.9867280080659366, 3.604750779464451, 3.4245887954095773]",4.254016895734991,1.0282749891440388,"[1.0, 0.7382829644566549, 0.5149643970663501, 0.38915781766017926]",0.660601294795796
