r,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
1.0,"[24, 0, 0, 0]",6.0,10.392304845413264,"[9.067980605642946, 7.932333436509824, 7.932333436509824, 7.932333436509824]",8.216245228793104,0.4917496491025834,"[0.7556650504702455, 0.5508564886465156, 0.5508564886465156, 0.5508564886465156]",0.6020586291024481
1.1,"[33, 4, 0, 0]",9.25,13.808964479641476,"[9.092405968434848, 7.933305075651909, 7.932333436509824, 7.932333436509824]",8.2225944792766,0.5021860540719275,"[0.8118219614673972, 0.5748771793950659, 0.5508564886465156, 0.5508564886465156]",0.6221030295388736
1.2000000000000002,"[35, 10, 0, 0]",11.25,14.306903927824496,"[9.035608368438808, 7.992136595840553, 7.932333436509824, 7.932333436509824]",8.223102959324752,0.4697351199603764,"[0.8214189425853462, 0.614779738141581, 0.5508564886465156, 0.5508564886465156]",0.6344779145049897
1.3000000000000003,"[39, 10, 0, 0]",12.25,15.974589196595948,"[9.430579826091066, 8.033829771552995, 7.932333436509824, 7.932333436509824]",8.332269117665927,0.6354623422503565,"[0.8573254387355514, 0.6179869055040765, 0.5508564886465156, 0.5508564886465156]",0.6442563303831649
1.4000000000000004,"[39, 12, 0, 0]",12.75,15.927570436196476,"[9.69219696694984, 8.143593378234796, 7.932333436509824, 7.932333436509824]",8.42511430455107,0.736617009225367,"[0.8653747291919501, 0.6362182326745933, 0.5508564886465156, 0.5508564886465156]",0.6508264847898937
1.5000000000000004,"[52, 16, 0, 0]",17.0,21.236760581595302,"[9.877561164172562, 8.296050265661384, 7.932333436509824, 7.932333436509824]",8.509569575713398,0.8036470933602341,"[0.9318453928464682, 0.6690363117468857, 0.5508564886465156, 0.5508564886465156]",0.6756486704715963
1.6000000000000005,"[55, 15, 0, 0]",17.5,22.5,"[10.536911291341612, 8.42985752801076, 7.932333436509824, 7.932333436509824]",8.707858923093005,1.0753600446064184,"[0.957901026485601, 0.6690363117468857, 0.5508564886465156, 0.5508564886465156]",0.6821625788813795
1.7000000000000006,"[65, 18, 4, 0]",21.75,25.849323008543184,"[10.759871191478823, 8.370473747096698, 7.940194729587693, 7.932333436509824]",8.750718276168259,1.1734546757687419,"[0.9962843695813723, 0.6861044054997294, 0.5753764296802677, 0.5508564886465156]",0.7021554233519713
1.8000000000000007,"[65, 19, 10, 0]",23.5,24.88473427625861,"[11.0, 8.22944912086742, 7.992136595840553, 7.932333436509824]",8.78847978830445,1.2816479615857723,"[1.0, 0.6857874267389517, 0.614779738141581, 0.5508564886465156]",0.7128559133817621
1.9000000000000008,"[65, 25, 10, 0]",25.0,24.748737341529164,"[11.0, 8.34183177864825, 8.020007471782135, 7.932333436509824]",8.823543171735052,1.2657936842935533,"[1.0, 0.7317396297059869, 0.6169236516755489, 0.5508564886465156]",0.7248799425070129
2.000000000000001,"[62, 25, 9, 0]",24.0,23.695991222145572,"[11.6, 8.617669989659982, 8.11509254346887, 7.932333436509824]",9.066273992409668,1.4842153117006176,"[1.0, 0.7429025853155157, 0.614779738141581, 0.5508564886465156]",0.7271347030259031
2.100000000000001,"[62, 27, 12, 0]",25.25,23.27418097377435,"[11.6, 8.62020482312306, 8.143593378234796, 7.932333436509824]",9.07403290946692,1.4794986551396936,"[1.0, 0.7561583178178124, 0.6362182326745933, 0.5508564886465156]",0.7358082597847304
2.200000000000001,"[62, 32, 12, 4]",27.5,22.377444000600246,"[11.6, 8.69929095370739, 8.118226211994584, 7.933305075651909]",9.08770556033847,1.4777533576436623,"[1.0, 0.7908446321552173, 0.6342364228120768, 0.5748771793950659]",0.74998955859059
